material_description|purchase_requisition_number|line_type|commodity_code|cost_center|purchase_order_number|currency|vendor_number|purchasing_organization_description|supplier_name_l1|item_number_of_purchase_requisition|requisition_date|supplier_part_number
test PR_line 2|PR99999-V7|Non-Catalog Item|Not Set|ZF103006|Not Set|USD|Not Set|Not Set|Not Set|2|09 Aug 2022|Not Set
test PR_line 2|PR99999-V8|Non-Catalog Item|Not Set|ZF103006|Not Set|USD|Not Set|Not Set|Not Set|2|09 Aug 2022|Not Set
VibControl Throughput Module|PR237816|Non-Catalog Item|Not Set|CTD Core Competency|Unclassified|USD|40000126|Carrier Corporation|M AND P INTERNATIONAL INC|1|10 Aug 2022|Not Set
TK71564513T Fall Protection #4|PR237868|Non-Catalog Item|Not Set|Tampa|Unclassified|USD|40000176|Carrier Corporation|WW GRAINGER INC GRAINGER|1|10 Aug 2022|Not Set
TK71564514T Service Tech#1|PR237868|Non-Catalog Item|Not Set|Tampa|Unclassified|USD|40000176|Carrier Corporation|WW GRAINGER INC GRAINGER|2|10 Aug 2022|Not Set
TK71564515T Arc Flash#3|PR237868|Non-Catalog Item|Not Set|Tampa|Unclassified|USD|40000176|Carrier Corporation|WW GRAINGER INC GRAINGER|3|10 Aug 2022|Not Set
TK71564516T Ball Valve Lockout, Red, Material Polypropylene, Max. Number of Padlocks 4, Padlock Shackle Max. Dia. 3/8 in, Fits Pipe Size 1/2 in to 2 1/2 in, Handle Thickness 1/2 in, Handle Width 1 in, Height 3 2/5 in, Width 3 1/5 in, Length 5 3/4 in, Temp|PR237868|Non-Catalog Item|Not Set|Tampa|Unclassified|USD|40000176|Carrier Corporation|WW GRAINGER INC GRAINGER|4|10 Aug 2022|Not Set
TK71564517T Universal Valve Lockout, Red, Material Steel, Max. Number of Padlocks 1, Padlock Shackle Max. Dia. 9/32 in, Handle Thickness 1 3/32 in, Handle Width 1 19/32 in, Height 2 in, Width 7 in, Length 6 in, Temp. Range 0 Degrees to 250 Degrees F, For|PR237868|Non-Catalog Item|Not Set|Tampa|Unclassified|USD|40000176|Carrier Corporation|WW GRAINGER INC GRAINGER|5|10 Aug 2022|Not Set
TK71564518T Engineer- Management- Sales #2B|PR237868|Non-Catalog Item|Not Set|Tampa|Unclassified|USD|40000176|Carrier Corporation|WW GRAINGER INC GRAINGER|6|10 Aug 2022|Not Set
TK71564519T Electrical Insulating Gloves, Standards ASTM D 120, IEC EN60903, Brand and Series Salisbury E011R, Cuff Style Straight, Cuff-End Color Red, Electrical Insulating Glove Color Red, Electrical Insulating Type Type I, Glove Hand Style Left and Rig|PR237868|Non-Catalog Item|Not Set|Tampa|Unclassified|USD|40000176|Carrier Corporation|WW GRAINGER INC GRAINGER|7|10 Aug 2022|Not Set
TK71564520T Electrical Insulating Gloves, Standards ASTM D 120, IEC EN60903, Brand and Series Salisbury E011R, Cuff Style Straight, Cuff-End Color Red, Electrical Insulating Glove Color Red, Electrical Insulating Type Type I, Glove Hand Style Left and Rig|PR237868|Non-Catalog Item|Not Set|Tampa|Unclassified|USD|40000176|Carrier Corporation|WW GRAINGER INC GRAINGER|8|10 Aug 2022|Not Set
TK71564521T Electrical Insulating Gloves, Standards ASTM D 120, IEC EN60903, Brand and Series Salisbury E011R, Cuff Style Straight, Cuff-End Color Red, Electrical Insulating Glove Color Red, Electrical Insulating Type Type I, Glove Hand Style Left and Rig|PR237868|Non-Catalog Item|Not Set|Tampa|Unclassified|USD|40000176|Carrier Corporation|WW GRAINGER INC GRAINGER|9|10 Aug 2022|Not Set
TK71564522T Electrical Insulating Gloves, Standards ASTM D 120, IEC EN60903, Brand and Series Salisbury E011R, Cuff Style Straight, Cuff-End Color Red, Electrical Insulating Glove Color Red, Electrical Insulating Type Type I, Glove Hand Style Left and Rig|PR237868|Non-Catalog Item|Not Set|Tampa|Unclassified|USD|40000176|Carrier Corporation|WW GRAINGER INC GRAINGER|10|10 Aug 2022|Not Set
1/2 Bell|PR237861|Non-Catalog Item|Not Set|QUALITY - CVL|Unclassified|USD|40000917|Carrier Corporation|AMERICAN TUBING ARKANSAS LLC|9|10 Aug 2022|Not Set
1/2 Straight|PR237861|Non-Catalog Item|Not Set|QUALITY - CVL|Unclassified|USD|40000917|Carrier Corporation|AMERICAN TUBING ARKANSAS LLC|6|10 Aug 2022|Not Set
3/4 Bell|PR237861|Non-Catalog Item|Not Set|QUALITY - CVL|Unclassified|USD|40000917|Carrier Corporation|AMERICAN TUBING ARKANSAS LLC|3|10 Aug 2022|Not Set
3/4 Straight|PR237861|Non-Catalog Item|Not Set|QUALITY - CVL|Unclassified|USD|40000917|Carrier Corporation|AMERICAN TUBING ARKANSAS LLC|1|10 Aug 2022|Not Set
3/8 Bell|PR237861|Non-Catalog Item|Not Set|QUALITY - CVL|Unclassified|USD|40000917|Carrier Corporation|AMERICAN TUBING ARKANSAS LLC|4|10 Aug 2022|Not Set
3/8 Straight|PR237861|Non-Catalog Item|Not Set|QUALITY - CVL|Unclassified|USD|40000917|Carrier Corporation|AMERICAN TUBING ARKANSAS LLC|8|10 Aug 2022|Not Set
3/8 Tube, liquid - 332867403|PR237861|Non-Catalog Item|Not Set|QUALITY - CVL|Unclassified|USD|40000917|Carrier Corporation|AMERICAN TUBING ARKANSAS LLC|11|10 Aug 2022|Not Set
5/8 Bell|PR237861|Non-Catalog Item|Not Set|QUALITY - CVL|Unclassified|USD|40000917|Carrier Corporation|AMERICAN TUBING ARKANSAS LLC|10|10 Aug 2022|Not Set
5/8 Straight|PR237861|Non-Catalog Item|Not Set|QUALITY - CVL|Unclassified|USD|40000917|Carrier Corporation|AMERICAN TUBING ARKANSAS LLC|7|10 Aug 2022|Not Set
7/8 Bell|PR237861|Non-Catalog Item|Not Set|QUALITY - CVL|Unclassified|USD|40000917|Carrier Corporation|AMERICAN TUBING ARKANSAS LLC|2|10 Aug 2022|Not Set
7/8 Straight|PR237861|Non-Catalog Item|Not Set|QUALITY - CVL|Unclassified|USD|40000917|Carrier Corporation|AMERICAN TUBING ARKANSAS LLC|5|10 Aug 2022|Not Set
BMG Fan Coil and Elec Htr Photography|PR237884|Non-Catalog Item|Not Set|PRODUCT LAUNCH|Unclassified|USD|40001167|Carrier Corporation|BUSINESS MEDIA GROUP INC|1|10 Aug 2022|Not Set
Assembly Line 2 Top Cover Fixture Modification|PR237860|Non-Catalog Item|Not Set|CVL - CB ADMINISTRATION|Unclassified|USD|40002255|Carrier Corporation|MIDWEST AUTOMATION INC|1|10 Aug 2022|Not Set
2nd QUARTER 2022 DESIGN FEES FOR TAYLOR COMMUNICATIONS|PR231904|Non-Catalog Item|Not Set|CHARLOTTE-PURCHASING|Unclassified|USD|40002997|Carrier Corporation|TAYLOR CORPORATION TAYLOR COMMUNICATIONS INC|1|10 Aug 2022|Not Set
ITEM CODE 139104 ;MSI-3460 5K Lb Final Assembly, Challenger;3 Crane Scale. NTEP Approved. Standard;Features Include: 5-Digit LED Display, Top;Lifting Eye, And Bottom Non-Bearing Swivel;Hook, Selectable Units Key. A Six-Volt;Rechargeable Battery And Universal;Charger Are Also Included.|PR237763|Non-Catalog Item|Not Set|CML CLT APPLIED LAB|Unclassified|USD|40013002|Carrier Corporation|CROSS TECHNOLOGIES INC CROSS COMPANY JA KING CROSS PRECISION MEASUREMENT|1|10 Aug 2022|Not Set
This is year 3 of 3 of EcoVadis agreement.  Ref PO129218 for years 1 and 2. EcoVadis provides clients means to assess the corporate sustainability performance of their Suppliers and other companies which decided to share their ratings within the;EcoVadis network.|PR237827|Non-Catalog Item|Not Set|WHQ VP Supply Chain|Unclassified|USD|40017115|Carrier Corporation|ECOVADIS INC|1|10 Aug 2022|Not Set
Notre Dame EIH Internship, Summer 2022|PR237833|Non-Catalog Item|Not Set|TEC-RD&E STRATEGY/PROG OFFICE|Unclassified|USD|40017385|Carrier Corporation|UNIVERSITY OF NOTRE DAME DU LAC UNIVERSITY OF NOTRE DAME|1|10 Aug 2022|Not Set
HBK RSS 4204 Aug 2022|PR237809|Non-Catalog Item|Not Set|RES ENG-SOUND & VIBRATION|Unclassified|USD|40017602|Carrier Corporation|HOTTINGER BRUEL AND KJAER INC|1|10 Aug 2022|Not Set
Extend contract with TCS to secure Oracle business system analysts|PR237789|Non-Catalog Item|Not Set|DT- ERP COE|Unclassified|USD|40018620|Carrier Corporation|TATA CONSULTANCY SERVICES LIMITED|1|10 Aug 2022|Not Set
$500 Fee for cancelling wire cage with ConveyorMan, Inc.|PR237826|Non-Catalog Item|Not Set|MAINTENANCE - CVL|Unclassified|USD|40020016|Carrier Corporation|CONVEYORMAN INC METAL PRODUCTS COMPANY|1|10 Aug 2022|Not Set
Kobayashi, Yuki|PR227173-V2|Non-Catalog Item|Not Set|RCG Customer Service|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|13 Aug 2022|Not Set
TR-21 Sound Room Relief Header REV-01|PR238305|Non-Catalog Item|Not Set|SOUND & VIBRATION TECHNOLOGY|Unclassified|USD|Not Set|Carrier Corporation|BURNS BROS CONTRACTORS LLC|1|16 Aug 2022|Not Set
Miscellaneous Charges|PR24212|Non-Catalog Item|Not Set|ZF103006|Not Set|USD|Not Set|Not Set|Not Set|100001|18 Aug 2022|Not Set
Sales tax|PR24212|Non-Catalog Item|Not Set|ZF103006|Not Set|USD|Not Set|Not Set|Not Set|100002|18 Aug 2022|Not Set
test PR|PR24218|Non-Catalog Item|Not Set|ZF103006|Not Set|USD|Not Set|Not Set|Not Set|1|18 Aug 2022|Not Set
test PR_line 2|PR24212|Non-Catalog Item|Not Set|ZF103006|Not Set|USD|Not Set|Not Set|Not Set|1|18 Aug 2022|Not Set
test PR_line 2|PR24218|Non-Catalog Item|Not Set|ZF103006|Not Set|USD|Not Set|Not Set|Not Set|2|18 Aug 2022|Not Set
Cushman & Wakefield - RLCS HVAC Indy Product Technical training center - Capitol|PR239041|Non-Catalog Item|Not Set|RES SERVICE|Unclassified|USD|40016208|Carrier Corporation|CUSHMAN AND WAKEFIELD FIDUCIARY INC|1|23 Aug 2022|Not Set
Cushman & Wakefield - RLCS HVAC Indy Product Technical training center - Expense|PR239041|Non-Catalog Item|Not Set|RES SERVICE|Unclassified|USD|40016208|Carrier Corporation|CUSHMAN AND WAKEFIELD FIDUCIARY INC|2|23 Aug 2022|Not Set
Enter a description for this item.|PR24273|Non-Catalog Item|Not Set|ZE011000|Not Set|USD|1000026|Not Set|VMWARE INTERNATIONAL UNLIMITED COMP|1|29 Aug 2022|Not Set
Sales tax|PR24273|Non-Catalog Item|Not Set|ZE011000|Not Set|USD|1000026|Not Set|VMWARE INTERNATIONAL UNLIMITED COMP|100001|29 Aug 2022|Not Set
Sales tax|PR24297|Non-Catalog Item|Not Set|ZE011000|Not Set|USD|1000026|Not Set|VMWARE INTERNATIONAL UNLIMITED COMP|100001|29 Aug 2022|Not Set
Sales tax|PR24301|Non-Catalog Item|Not Set|ZE011001|Not Set|USD|1000026|Not Set|VMWARE INTERNATIONAL UNLIMITED COMP|100001|29 Aug 2022|Not Set
Sales tax|PR24308|Non-Catalog Item|Not Set|ZE011000|Not Set|USD|1000026|Not Set|VMWARE INTERNATIONAL UNLIMITED COMP|100001|29 Aug 2022|Not Set
Sales tax|PR24318|Non-Catalog Item|Not Set|ZE011000|Not Set|USD|1000026|Not Set|VMWARE INTERNATIONAL UNLIMITED COMP|100001|29 Aug 2022|Not Set
Sales tax|PR24324|Non-Catalog Item|Not Set|ZE011001|Not Set|USD|1000026|Not Set|VMWARE INTERNATIONAL UNLIMITED COMP|100001|29 Aug 2022|Not Set
TEST CR22|PR24293|Non-Catalog Item|Not Set|ZF102001|Not Set|USD|1000026|Not Set|VMWARE INTERNATIONAL UNLIMITED COMP|1|29 Aug 2022|Not Set
Test|PR24297|Non-Catalog Item|Not Set|ZE011000|Not Set|USD|1000026|Not Set|VMWARE INTERNATIONAL UNLIMITED COMP|1|29 Aug 2022|Not Set
Test|PR24318|Non-Catalog Item|Not Set|ZE011000|Not Set|USD|1000026|Not Set|VMWARE INTERNATIONAL UNLIMITED COMP|1|29 Aug 2022|Not Set
Test|PR24324|Non-Catalog Item|Not Set|ZE011001|Not Set|USD|1000026|Not Set|VMWARE INTERNATIONAL UNLIMITED COMP|1|29 Aug 2022|Not Set
Test PR 12|PR24308|Non-Catalog Item|Not Set|ZE011000|Not Set|USD|1000026|Not Set|VMWARE INTERNATIONAL UNLIMITED COMP|1|29 Aug 2022|Not Set
Test RPS|PR24301|Non-Catalog Item|Not Set|ZE011001|Not Set|USD|1000026|Not Set|VMWARE INTERNATIONAL UNLIMITED COMP|1|29 Aug 2022|Not Set
test104|PR24295|Non-Catalog Item|Not Set|ZE011001|Not Set|USD|1000026|Not Set|VMWARE INTERNATIONAL UNLIMITED COMP|1|29 Aug 2022|Not Set
Hanging Folders|PR24312|Non-Catalog Item|Not Set|ZE011000|Not Set|USD|1000080|Not Set|Samsung|1|29 Aug 2022|Not Set
Sales tax|PR24312|Non-Catalog Item|Not Set|ZE011000|Not Set|USD|1000080|Not Set|Samsung|100001|29 Aug 2022|Not Set
Beacham, Jameshia|PR239608|Non-Catalog Item|Not Set|DT- Global Cloud Services|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|29 Aug 2022|Not Set
Integration Deliverables|PR239621|Non-Catalog Item|Not Set|Foundation Projects|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|29 Aug 2022|Not Set
Test cr67|PR24307|Non-Catalog Item|Not Set|ZE011001|Not Set|USD|Not Set|Not Set|Not Set|1|29 Aug 2022|Not Set
Test data CR22|PR24290|Non-Catalog Item|Not Set|ZE011000|Not Set|USD|Not Set|Not Set|Not Set|1|29 Aug 2022|Not Set
Test123|PR24309|Non-Catalog Item|Not Set|ZE011000|Not Set|USD|Not Set|Not Set|Not Set|1|29 Aug 2022|Not Set
test 234|PR24315|Non-Catalog Item|Not Set|ZE011001|Not Set|USD|Not Set|Not Set|Not Set|1|29 Aug 2022|Not Set
Create new ICP API similar to EPMS for PIM Parts Linkage and to provide efficiency for distributor data  retrieval|PR240096|Non-Catalog Item|Not Set|DT- CML-BRM|Unclassified|USD|Not Set|Carrier Corporation|ZETAOPT LLC|1|01 Sep 2022|Not Set
Callahan, Terrance|PR240177|Non-Catalog Item|Not Set|Plant Management - Athens|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|02 Sep 2022|Not Set
Barkawi Services 2022 - 2023|PR240203|Non-Catalog Item|Not Set|RC Vendor Spend|Unclassified|USD|Not Set|Carrier Corporation|GENPACT GLOBAL BERMUDA LIMITED GENPACT UK LIMITED|1|02 Sep 2022|Not Set
RPG Development|PR240365|Non-Catalog Item|Not Set|RC Vendor Spend|Unclassified|USD|40002367|Carrier Corporation|NTT DATA INC|1|06 Sep 2022|Not Set
Narasimha initial offshore and then onsite|PR240258|Non-Catalog Item|Not Set|(RES HVAC)|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|06 Sep 2022|Not Set
User Zoom Professional Workgroup|PR240372|Non-Catalog Item|Not Set|RC Digital|Unclassified|USD|Not Set|Carrier Corporation|USER ZOOM INC|1|06 Sep 2022|Not Set
INVOICE 7812811 - ASSOCIATE CHARGEBACKS - AUGUST 2022|PR240530|Non-Catalog Item|Not Set|FACTORY WF|Unclassified|USD|40000211|Carrier Corporation|WHITEPATH FAB TECH INC|1|07 Sep 2022|Not Set
INVOICE 7812812 - CUSTOM FEES - AUGUST 2022|PR240507|Non-Catalog Item|Not Set|MATERIAL COSTS|Unclassified|USD|40000211|Carrier Corporation|WHITEPATH FAB TECH INC|1|07 Sep 2022|Not Set
INVOICE 7812813 - FREIGHT IN - AUGUST 2022|PR240502|Non-Catalog Item|Not Set|MATERIAL COSTS|Unclassified|USD|40000211|Carrier Corporation|WHITEPATH FAB TECH INC|1|07 Sep 2022|Not Set
SAP Master Data Governance for S/4Hana Anual Support Fee JAN - JUN 2023|PR240402|Non-Catalog Item|Not Set|Foundation Projects|Unclassified|USD|40002730|Carrier Corporation|SAP AMERICA INC|2|07 Sep 2022|Not Set
SAP Master Data Governance for S/4Hana Anual Support Fee JUL-DEC 2022|PR240402|Non-Catalog Item|Not Set|Foundation Projects|Unclassified|USD|40002730|Carrier Corporation|SAP AMERICA INC|1|07 Sep 2022|Not Set
Johns, Monica|PR240520|Non-Catalog Item|Not Set|One Controls|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|07 Sep 2022|Not Set
CMX B Energy Audit PO (CHARGE BACK TO SITE)|PR240504|Non-Catalog Item|Not Set|WHQ Environmental & Safety|Unclassified|USD|Not Set|Carrier Corporation|NORESCO LLC SUITE 400C|1|07 Sep 2022|Not Set
CMX C energy Audit with Noresco (PO NEEDS TO BE REDIRECTED)|PR240505|Non-Catalog Item|Not Set|WHQ Environmental & Safety|Unclassified|USD|Not Set|Carrier Corporation|NORESCO LLC SUITE 400C|1|07 Sep 2022|Not Set
Energy Audit for CMX D with Noresco (PO NEEDS TO BE REDIRECTED)|PR240506|Non-Catalog Item|Not Set|WHQ Environmental & Safety|Unclassified|USD|Not Set|Carrier Corporation|NORESCO LLC SUITE 400C|1|07 Sep 2022|Not Set
Energy Audit for UTEC (CHARGE BACK TO SITE)|PR240500|Non-Catalog Item|Not Set|WHQ Environmental & Safety|Unclassified|USD|Not Set|Carrier Corporation|NORESCO LLC SUITE 400C|1|07 Sep 2022|Not Set
IBM Weather Data Subscription|PR240497|Non-Catalog Item|Not Set|SAP PROJECTS|Unclassified|USD|Not Set|Carrier Corporation|DESPAIN AND ASSOCIATES INC DAI SOURCE|1|07 Sep 2022|Not Set
PO for EnelX APAC|PR240271|Non-Catalog Item|Not Set|WHQ Environmental & Safety|Unclassified|USD|Not Set|Carrier Corporation|ENEL X AUSTRALIA PTY LTD|1|07 Sep 2022|Not Set
Part #: SVCN-PartnrPlan;Description: HW Support Contract|PR240418|Non-Catalog Item|Not Set|FACTORY F & G|Unclassified|USD|Not Set|Carrier Corporation|BRAVO TECHNICAL SERVICES|1|07 Sep 2022|Not Set
Remainder of 2022 and 2023 Monthly Returnable Service Fee|PR240480|Non-Catalog Item|Not Set|MATERIALS - CVL|Unclassified|USD|Not Set|Carrier Corporation|HJI TENNESSEE LLC DBA HJI SUPPLY CHAIN SOLUTIONS|1|07 Sep 2022|Not Set
Toptal Homeapp Backend dev|PR240403|Non-Catalog Item|Not Set|E-MARKETING|Unclassified|USD|Not Set|Carrier Corporation|TASO DUVAL TOPTAL LLC|1|07 Sep 2022|Not Set
Utility Bill management monthly PO|PR240493|Non-Catalog Item|Not Set|WHQ Environmental & Safety|Unclassified|USD|Not Set|Carrier Corporation|ENEL X NORTH AMERICA INC|1|07 Sep 2022|Not Set
Enter a description for this item.|PR24599|Non-Catalog Item|Not Set|ZE011000|Not Set|USD|1000026|Not Set|VMWARE INTERNATIONAL UNLIMITED COMP|1|08 Sep 2022|Not Set
Enter a description for this item.|PR24601|Non-Catalog Item|Not Set|ZE011000|Not Set|USD|1000026|Not Set|VMWARE INTERNATIONAL UNLIMITED COMP|1|08 Sep 2022|Not Set
Sales tax|PR24605|Non-Catalog Item|Not Set|ZFCA5003|Not Set|USD|1000026|Not Set|VMWARE INTERNATIONAL UNLIMITED COMP|100001|08 Sep 2022|Not Set
Sales tax|PR24605|Non-Catalog Item|Not Set|ZFCA5003|Not Set|USD|1000026|Not Set|VMWARE INTERNATIONAL UNLIMITED COMP|100002|08 Sep 2022|Not Set
Test Contract|PR24605|Non-Catalog Item|Not Set|ZFCA5003|Not Set|USD|1000026|Not Set|VMWARE INTERNATIONAL UNLIMITED COMP|1|08 Sep 2022|Not Set
Test Contract|PR24605|Non-Catalog Item|Not Set|ZFCA5003|Not Set|USD|1000026|Not Set|VMWARE INTERNATIONAL UNLIMITED COMP|2|08 Sep 2022|Not Set
Test_PR|PR24607|Non-Catalog Item|Not Set|ZE011001|Not Set|USD|1000026|Not Set|VMWARE INTERNATIONAL UNLIMITED COMP|1|08 Sep 2022|Not Set
Ernst & Young 3 HVACParnters ICP Dlr Mgmt - capital|PR240675|Non-Catalog Item|Not Set|SAP PROJECTS|Unclassified|USD|40001602|Carrier Corporation|ERNST AND YOUNG US LLP|1|08 Sep 2022|Not Set
Ernst & Young Q3 SharePoint retirement - expense|PR240675|Non-Catalog Item|Not Set|SAP PROJECTS|Unclassified|USD|40001602|Carrier Corporation|ERNST AND YOUNG US LLP|3|08 Sep 2022|Not Set
Ernst & Young Q3 Todd's IT Decouple - Capital|PR240675|Non-Catalog Item|Not Set|SAP PROJECTS|Unclassified|USD|40001602|Carrier Corporation|ERNST AND YOUNG US LLP|2|08 Sep 2022|Not Set
Purple team for Cyber (Insight)|PR240688|Non-Catalog Item|Not Set|DT- Cyber Security- Enterprise|Unclassified|USD|40001923|Carrier Corporation|INSIGHT DIRECT USA INC|1|08 Sep 2022|Not Set
Jee, Sudhanshu|PR233791-V2|Non-Catalog Item|Not Set|WAREHOUSE|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|08 Sep 2022|Not Set
02MV25000902, Volute, 1st Stage, Machining Rev C.3 or latest|PR240583|Non-Catalog Item|Not Set|CENTRIFUGAL|Unclassified|USD|Not Set|Carrier Corporation|ALLIED MACHINERY CO LTD HANGZHOU XASHA TOWN|1|08 Sep 2022|Not Set
02MV25001102, Volute, 2nd Stage, Machining Rev C.4 or latest|PR240583|Non-Catalog Item|Not Set|CENTRIFUGAL|Unclassified|USD|Not Set|Carrier Corporation|ALLIED MACHINERY CO LTD HANGZHOU XASHA TOWN|4|08 Sep 2022|Not Set
Burst Test, 02MV25000902, 1st Stage Volute|PR240583|Non-Catalog Item|Not Set|CENTRIFUGAL|Unclassified|USD|Not Set|Carrier Corporation|ALLIED MACHINERY CO LTD HANGZHOU XASHA TOWN|3|08 Sep 2022|Not Set
Burst Test, 02MV25001102, 2nd Stage Volute|PR240583|Non-Catalog Item|Not Set|CENTRIFUGAL|Unclassified|USD|Not Set|Carrier Corporation|ALLIED MACHINERY CO LTD HANGZHOU XASHA TOWN|6|08 Sep 2022|Not Set
Industrial design services to develop ;a plastic housing design for an indoor air quality monitor|PR240680|Non-Catalog Item|Not Set|F&S Advanced Solutions|Unclassified|USD|Not Set|Carrier Corporation|HUMID LLC HUMID CREATIVE AGENCY|1|08 Sep 2022|Not Set
Packsize, LLC - AutoPack Size - Kenco Wshse|PR240655|Non-Catalog Item|Not Set|RC KENCO WAREHOUSE|Unclassified|USD|Not Set|Carrier Corporation|PACKSIZE LLC|1|08 Sep 2022|Not Set
Pattern Tooling, 02MV25000802, Volute, 1st Stage Casting, Rev A.7 or latest|PR240583|Non-Catalog Item|Not Set|CENTRIFUGAL|Unclassified|USD|Not Set|Carrier Corporation|ALLIED MACHINERY CO LTD HANGZHOU XASHA TOWN|2|08 Sep 2022|Not Set
Pattern Tooling, 02mv25001002, Volute, 2nd Stage Casting, Rev A.8 or latest|PR240583|Non-Catalog Item|Not Set|CENTRIFUGAL|Unclassified|USD|Not Set|Carrier Corporation|ALLIED MACHINERY CO LTD HANGZHOU XASHA TOWN|5|08 Sep 2022|Not Set
Turnover Maintenance 9/1/2022 - 8/31/2023|PR240690|Non-Catalog Item|Not Set|RC Vendor Spend|Unclassified|USD|Not Set|Carrier Corporation|UNICOM SYSTEMS INC SUITE 310|1|08 Sep 2022|Not Set
Add refrigerant to SA4936 Volume 1, Section 15|PR240749|Non-Catalog Item|Not Set|RECIP|Unclassified|USD|40000206|Carrier Corporation|UL LLC|1|09 Sep 2022|Not Set
Build interface in Boomi to integrate Sales Orders from Salesforce with JD Edwards|PR240744|Non-Catalog Item|Not Set|DT- CML-BRM|Unclassified|USD|40002087|Carrier Corporation|LARSEN AND TOUBRO INFOTECH LIMITED EDISON SQUARE WEST|1|09 Sep 2022|Not Set
Alhinnawi, Sumer|PR195742-V5|Non-Catalog Item|Not Set|DT-Product Software-R&D|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|09 Sep 2022|Not Set
Olorunfemi, Busayo|PR205083-V4|Non-Catalog Item|Not Set|WHQ Advanced Materials|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|09 Sep 2022|Not Set
Raghavan, Shreehari|PR240814|Non-Catalog Item|Not Set|DT- Digital Operations|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|09 Sep 2022|Not Set
Ramirez, Ken|PR199186-V6|Non-Catalog Item|Not Set|DT-Product Software-R&D|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|09 Sep 2022|Not Set
2022 DSI Global Technical Services Support|PR233747-V2|Non-Catalog Item|Not Set|Systems Development - Athens|Unclassified|USD|Not Set|Carrier Corporation|DATA SYSTEMS INTERNATIONAL INC|1|09 Sep 2022|Not Set
2022 DSI Global Technical Services Support|PR233747-V2|Non-Catalog Item|Not Set|Systems Development - Athens|Unclassified|USD|Not Set|Carrier Corporation|DATA SYSTEMS INTERNATIONAL INC|2|09 Sep 2022|Not Set
346897-401|PR237197-V2|Non-Catalog Item|Not Set|RECEIVING/STORES - CVL|Unclassified|USD|Not Set|Carrier Corporation|INTERNATIONAL PAPER|1|09 Sep 2022|Not Set
346897-402|PR237197-V2|Non-Catalog Item|Not Set|RECEIVING/STORES - CVL|Unclassified|USD|Not Set|Carrier Corporation|INTERNATIONAL PAPER|2|09 Sep 2022|Not Set
346897-404|PR237197-V2|Non-Catalog Item|Not Set|RECEIVING/STORES - CVL|Unclassified|USD|Not Set|Carrier Corporation|INTERNATIONAL PAPER|3|09 Sep 2022|Not Set
346897-405|PR237197-V2|Non-Catalog Item|Not Set|RECEIVING/STORES - CVL|Unclassified|USD|Not Set|Carrier Corporation|INTERNATIONAL PAPER|4|09 Sep 2022|Not Set
346897-409|PR237197-V2|Non-Catalog Item|Not Set|RECEIVING/STORES - CVL|Unclassified|USD|Not Set|Carrier Corporation|INTERNATIONAL PAPER|5|09 Sep 2022|Not Set
346897-410|PR237197-V2|Non-Catalog Item|Not Set|RECEIVING/STORES - CVL|Unclassified|USD|Not Set|Carrier Corporation|INTERNATIONAL PAPER|6|09 Sep 2022|Not Set
346897-411|PR237197-V2|Non-Catalog Item|Not Set|RECEIVING/STORES - CVL|Unclassified|USD|Not Set|Carrier Corporation|INTERNATIONAL PAPER|7|09 Sep 2022|Not Set
346897-416|PR237197-V2|Non-Catalog Item|Not Set|RECEIVING/STORES - CVL|Unclassified|USD|Not Set|Carrier Corporation|INTERNATIONAL PAPER|8|09 Sep 2022|Not Set
346897-417|PR237197-V2|Non-Catalog Item|Not Set|RECEIVING/STORES - CVL|Unclassified|USD|Not Set|Carrier Corporation|INTERNATIONAL PAPER|9|09 Sep 2022|Not Set
346897-418|PR237197-V2|Non-Catalog Item|Not Set|RECEIVING/STORES - CVL|Unclassified|USD|Not Set|Carrier Corporation|INTERNATIONAL PAPER|10|09 Sep 2022|Not Set
346897-430|PR237197-V2|Non-Catalog Item|Not Set|RECEIVING/STORES - CVL|Unclassified|USD|Not Set|Carrier Corporation|INTERNATIONAL PAPER|11|09 Sep 2022|Not Set
346897-434|PR237197-V2|Non-Catalog Item|Not Set|RECEIVING/STORES - CVL|Unclassified|USD|Not Set|Carrier Corporation|INTERNATIONAL PAPER|12|09 Sep 2022|Not Set
346897-435|PR237197-V2|Non-Catalog Item|Not Set|RECEIVING/STORES - CVL|Unclassified|USD|Not Set|Carrier Corporation|INTERNATIONAL PAPER|13|09 Sep 2022|Not Set
CMX B compressed air repair program (PO NEEDS TO BE CHARGED BACK TO SITE)|PR240784|Non-Catalog Item|Not Set|WHQ Environmental & Safety|Unclassified|USD|Not Set|Carrier Corporation|LEEKSEEK USA INC|1|09 Sep 2022|Not Set
